"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 28",167,"Alegeri Prezidentiale",1,1628,993,782,181,30,979,14,2000,1007,305,84,253,7,169,8,1,2,3,115,3,23,1,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 28",168,"Alegeri Prezidentiale",1,1166,942,604,175,163,926,16,1419,477,334,71,241,3,138,6,2,1,0,95,5,22,2,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 28",169,"Alegeri Prezidentiale",1,1352,1005,655,162,188,992,13,1600,595,293,85,230,5,213,4,1,5,2,119,7,16,2,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",170,"Alegeri Prezidentiale",1,1708,1057,917,138,2,1043,14,1800,743,358,96,281,4,146,5,5,2,2,115,9,16,2,2
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",171,"Alegeri Prezidentiale",1,922,592,492,100,0,585,7,1000,408,154,60,186,0,92,0,0,1,1,66,1,14,5,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",172,"Alegeri Prezidentiale",1,930,579,430,149,0,578,1,1000,421,198,56,157,0,84,1,2,1,2,60,1,7,5,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”C.A. ROSETTI ”",173,"Alegeri Prezidentiale",1,1051,695,541,153,1,684,11,1200,505,227,69,154,3,119,3,5,2,2,70,3,15,7,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”C.A. ROSETTI ”",174,"Alegeri Prezidentiale",1,1647,885,813,72,0,882,3,1796,911,295,77,259,1,125,1,5,2,1,70,5,26,10,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”C.A. ROSETTI ”",175,"Alegeri Prezidentiale",1,1522,776,700,76,0,766,10,1800,1024,271,84,167,3,120,1,2,1,1,87,7,11,6,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”TRAIAN”",176,"Alegeri Prezidentiale",1,1866,1042,920,121,1,1022,20,2200,1158,330,97,259,1,160,6,2,3,3,107,7,24,6,17
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”TRAIAN”",177,"Alegeri Prezidentiale",1,1876,1000,899,101,0,990,10,2000,1000,318,86,275,2,133,5,4,2,3,114,14,21,3,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”TRAIAN”",178,"Alegeri Prezidentiale",1,1877,899,828,71,0,886,13,2000,1101,277,69,220,3,161,6,2,1,1,104,4,21,10,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”TRAIAN”",179,"Alegeri Prezidentiale",1,1879,1080,964,115,1,1073,7,2000,920,367,91,279,6,156,1,4,5,1,119,10,25,3,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 31",180,"Alegeri Prezidentiale",1,1524,1048,706,342,0,1040,8,1800,752,334,59,293,5,189,0,1,5,1,106,5,31,0,11
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 31",181,"Alegeri Prezidentiale",1,1931,1070,931,139,0,1056,14,2000,930,352,84,262,3,185,2,4,2,2,118,7,24,1,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 31",182,"Alegeri Prezidentiale",1,1712,921,780,139,2,903,18,1800,875,280,82,240,3,147,3,8,1,1,93,2,24,2,17
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 31",183,"Alegeri Prezidentiale",1,1681,925,792,133,0,915,10,1800,875,303,76,236,1,157,2,3,3,1,94,6,18,7,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 31",184,"Alegeri Prezidentiale",1,1829,1056,792,264,0,1033,23,2000,944,367,114,293,0,127,1,6,0,1,90,2,19,4,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",185,"Alegeri Prezidentiale",1,1754,1063,921,106,36,1051,12,2000,937,356,79,261,3,185,2,3,0,3,131,6,14,4,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",186,"Alegeri Prezidentiale",1,1761,843,728,115,0,826,17,2000,1157,258,54,190,0,182,1,6,3,1,89,5,16,4,17
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",187,"Alegeri Prezidentiale",1,1626,865,670,195,0,852,13,1800,935,284,82,240,0,117,1,1,1,0,82,5,25,2,12
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",188,"Alegeri Prezidentiale",1,1688,820,748,72,0,815,5,2000,1180,261,68,221,1,110,7,4,0,0,97,6,29,5,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",189,"Alegeri Prezidentiale",1,1786,955,788,167,0,942,13,2000,1045,319,77,248,1,146,4,1,4,0,93,7,31,6,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",190,"Alegeri Prezidentiale",1,1884,895,848,47,0,887,8,2000,1105,274,75,206,1,150,2,10,5,3,118,9,16,2,16
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",191,"Alegeri Prezidentiale",1,1577,696,667,29,0,683,13,1800,1104,215,47,191,2,114,2,5,2,0,80,3,13,1,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",192,"Alegeri Prezidentiale",1,1319,557,444,113,0,550,7,1600,1043,199,37,142,0,68,0,6,2,1,64,6,8,6,11
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",193,"Alegeri Prezidentiale",1,1677,933,818,115,0,923,10,2000,1067,316,75,239,4,148,1,4,3,1,105,3,16,0,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","UNIVERSITATEA TEHNICĂ DE CONSTRUCŢII BUCUREŞTI",194,"Alegeri Prezidentiale",1,1707,705,600,105,0,696,9,2000,1295,220,50,189,0,120,5,0,4,1,71,4,17,4,11
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEHNOLOGIC CONSTANTIN BRÂNCUŞI",195,"Alegeri Prezidentiale",1,1031,762,395,367,0,754,8,1400,638,243,44,256,5,96,7,6,2,3,52,5,23,1,11
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 27",196,"Alegeri Prezidentiale",1,1540,858,620,238,0,849,9,1800,942,266,72,254,2,117,1,1,2,4,91,1,21,3,14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 27",197,"Alegeri Prezidentiale",1,1532,924,734,190,0,916,8,1600,676,309,64,231,0,174,5,6,3,2,90,8,16,3,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 27",198,"Alegeri Prezidentiale",1,1257,856,588,268,0,851,5,1400,544,281,59,249,2,127,1,3,1,0,93,9,19,5,2
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 27",199,"Alegeri Prezidentiale",1,1336,740,645,95,0,734,6,1400,660,231,70,183,4,119,0,2,4,1,83,9,19,6,3
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 27",200,"Alegeri Prezidentiale",1,1060,601,535,66,0,595,6,1200,599,227,37,163,1,90,0,3,2,0,46,3,19,2,2
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",201,"Alegeri Prezidentiale",1,1760,972,829,143,0,963,9,2000,1028,319,70,232,2,156,4,5,1,3,129,7,21,5,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",202,"Alegeri Prezidentiale",1,1543,862,726,136,0,853,9,1600,738,245,65,241,6,152,4,4,2,1,86,8,23,6,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",203,"Alegeri Prezidentiale",1,1875,961,865,96,0,941,20,2000,1039,302,66,187,2,222,3,3,3,1,118,6,20,1,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",204,"Alegeri Prezidentiale",1,1845,913,813,100,0,900,13,2000,1087,300,65,183,4,156,9,3,4,3,111,4,36,9,13
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",205,"Alegeri Prezidentiale",1,1642,873,821,52,0,862,11,1800,927,313,70,177,0,162,2,2,4,2,104,3,18,1,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",206,"Alegeri Prezidentiale",1,1445,687,640,47,0,668,19,1600,913,220,46,153,0,125,2,0,2,2,87,6,13,4,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",207,"Alegeri Prezidentiale",1,1704,699,641,56,2,687,12,1800,1101,225,47,149,0,148,1,2,1,3,82,0,18,4,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIŢA NR. 233",208,"Alegeri Prezidentiale",1,1403,754,695,59,0,738,16,1600,846,263,50,182,1,123,1,2,0,2,79,8,17,1,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIŢA NR. 233",209,"Alegeri Prezidentiale",1,1266,770,651,119,0,764,6,1400,630,234,61,203,2,143,2,2,0,2,92,3,10,5,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 39",210,"Alegeri Prezidentiale",1,1638,946,841,105,0,933,13,1800,854,314,69,216,1,171,2,3,5,1,108,10,12,8,13
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 39",211,"Alegeri Prezidentiale",1,1378,782,670,112,0,772,10,1400,618,272,53,150,2,146,3,2,0,0,102,5,24,4,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 39",212,"Alegeri Prezidentiale",1,1642,627,581,46,0,619,8,1800,1173,226,45,118,2,107,3,0,0,0,68,6,26,5,13
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 39",213,"Alegeri Prezidentiale",1,1520,746,677,69,0,740,6,1600,854,232,63,166,1,135,4,6,1,1,86,8,19,7,11
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 39",214,"Alegeri Prezidentiale",1,1587,818,770,48,0,813,5,1600,782,296,73,147,0,152,1,2,5,0,94,5,21,5,12
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 39",215,"Alegeri Prezidentiale",1,1656,730,689,41,0,722,8,1800,1070,258,44,155,1,122,6,0,2,0,101,6,20,5,2
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 39",216,"Alegeri Prezidentiale",1,1571,691,649,42,0,682,9,1600,909,197,49,165,1,146,2,5,3,0,88,6,13,2,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 40",217,"Alegeri Prezidentiale",1,1722,718,668,50,0,703,15,2000,1282,275,45,107,1,113,2,1,2,4,110,7,22,3,11
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 40",218,"Alegeri Prezidentiale",1,1735,841,791,50,0,827,14,1800,959,272,60,144,2,183,1,2,7,1,94,7,23,6,25
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 40",219,"Alegeri Prezidentiale",1,1728,828,803,25,0,816,12,1800,972,276,59,162,1,170,3,0,2,5,95,4,19,7,13
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 40",220,"Alegeri Prezidentiale",1,1626,698,669,29,0,677,21,1800,1102,235,31,150,4,114,3,2,0,2,93,4,20,3,16
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 40",221,"Alegeri Prezidentiale",1,1956,888,865,23,0,874,14,2000,1112,313,45,162,1,179,4,2,3,2,102,10,24,2,25
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 40",222,"Alegeri Prezidentiale",1,1914,815,780,35,0,805,10,2000,1185,262,75,160,1,129,2,6,4,1,93,11,34,5,22
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 41",223,"Alegeri Prezidentiale",1,1658,715,678,36,1,704,11,1800,1085,201,40,128,4,175,2,1,4,3,87,5,24,8,22
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 41",224,"Alegeri Prezidentiale",1,1941,843,786,57,0,834,9,2000,1157,269,50,134,6,172,5,5,3,2,123,7,33,9,16
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 41",225,"Alegeri Prezidentiale",1,1932,921,867,54,0,913,8,2000,1079,300,73,160,1,172,2,2,3,4,135,10,23,12,16
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 32",226,"Alegeri Prezidentiale",1,1736,827,693,81,53,817,10,2000,1173,254,55,162,1,170,2,4,3,2,103,4,26,11,20
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 32",227,"Alegeri Prezidentiale",1,1671,955,780,7,168,944,11,1800,845,335,73,169,0,183,1,3,1,2,124,7,28,4,14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 32",228,"Alegeri Prezidentiale",1,1746,886,717,49,120,873,13,2000,1114,310,54,162,1,155,3,4,3,2,141,3,19,4,12
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 32",229,"Alegeri Prezidentiale",1,1762,949,759,33,157,937,12,2000,1050,261,66,212,1,223,4,2,5,3,106,6,35,3,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 32",230,"Alegeri Prezidentiale",1,1251,637,545,92,0,627,10,1400,763,194,48,153,0,113,2,2,0,3,72,6,13,11,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",231,"Alegeri Prezidentiale",1,1792,832,703,128,1,824,8,2000,1168,251,60,196,1,165,1,3,1,2,96,9,14,8,17
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",232,"Alegeri Prezidentiale",1,1736,747,687,60,0,741,6,2000,1253,242,73,173,0,138,3,0,2,0,71,5,24,4,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",233,"Alegeri Prezidentiale",1,2025,946,891,55,0,938,8,2200,1254,277,94,229,3,158,1,7,7,0,118,4,25,6,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",234,"Alegeri Prezidentiale",1,2019,862,830,32,0,852,10,2204,1342,284,74,207,0,132,1,2,4,1,107,4,18,6,12
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 25 ( FOSTA GRĂDINITĂ NR. 11)",235,"Alegeri Prezidentiale",1,1750,807,741,66,0,807,0,2000,1193,281,51,153,1,179,2,2,1,1,93,5,20,3,15
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 25 ( FOSTA GRĂDINITĂ NR. 11)",236,"Alegeri Prezidentiale",1,1600,771,700,71,0,765,6,1800,1029,273,61,137,2,164,1,0,1,0,94,9,12,3,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",237,"Alegeri Prezidentiale",1,2066,893,779,114,0,879,14,2200,1307,293,44,231,3,160,0,4,1,1,80,7,27,5,23
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",238,"Alegeri Prezidentiale",1,1583,716,689,27,0,706,10,1600,884,196,70,194,1,131,3,3,0,0,84,1,11,7,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",239,"Alegeri Prezidentiale",1,1682,714,685,29,0,705,9,1800,1086,204,54,147,3,153,0,1,3,3,80,5,32,7,13
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",240,"Alegeri Prezidentiale",1,1802,587,561,26,0,574,13,2000,1413,217,23,85,1,136,0,1,5,0,58,3,25,3,17
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",241,"Alegeri Prezidentiale",1,1653,766,682,84,0,759,7,1800,1034,263,59,189,2,107,2,5,2,1,93,4,16,8,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",242,"Alegeri Prezidentiale",1,1655,800,727,73,0,791,9,1800,1000,248,50,193,0,144,2,4,5,0,97,12,21,4,11
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",243,"Alegeri Prezidentiale",1,1767,718,667,51,0,708,10,1800,1082,235,54,131,2,143,3,1,3,4,85,6,20,1,20
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 145",244,"Alegeri Prezidentiale",1,1569,478,461,17,0,460,18,1600,1122,174,24,50,1,102,0,2,2,2,61,8,6,5,23
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 62",245,"Alegeri Prezidentiale",1,1631,768,696,72,0,760,8,1790,1022,211,51,167,1,190,4,3,0,3,87,2,22,6,13
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 62",246,"Alegeri Prezidentiale",1,1341,528,497,31,0,520,8,1400,872,167,29,86,0,118,0,2,2,0,79,4,15,3,15
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 62",247,"Alegeri Prezidentiale",1,1319,729,674,55,0,724,5,1400,671,225,59,158,1,138,2,5,2,0,96,3,18,4,13
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 62",248,"Alegeri Prezidentiale",1,1568,778,743,33,2,757,21,1600,822,217,53,152,0,177,4,3,3,0,89,8,27,5,19
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 62",249,"Alegeri Prezidentiale",1,1475,616,597,18,1,602,14,1596,980,189,58,126,0,105,3,5,1,2,75,6,15,3,14
