"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",314,"Alegeri Prezidentiale",1,1577,936,865,71,0,926,10,1800,864,285,60,192,1,215,2,6,4,0,129,6,20,0,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",315,"Alegeri Prezidentiale",1,1343,738,655,83,0,733,5,1600,862,226,66,193,2,128,1,4,3,2,81,5,10,6,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",316,"Alegeri Prezidentiale",1,1253,725,658,67,0,719,6,1396,671,229,59,199,1,118,2,1,0,1,73,1,23,4,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",317,"Alegeri Prezidentiale",1,1463,982,771,211,0,966,16,1800,818,302,63,262,1,194,1,3,3,1,98,5,26,2,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",318,"Alegeri Prezidentiale",1,1061,862,578,202,82,855,7,1400,538,296,67,216,6,141,2,6,3,4,81,4,13,6,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",319,"Alegeri Prezidentiale",1,1808,921,813,65,43,908,13,2000,1079,308,93,217,2,159,3,9,0,3,89,3,14,2,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIŢA LUMINIȚA (FOSTA GRADINITA NR. 16)",320,"Alegeri Prezidentiale",1,1258,818,655,163,0,815,3,1400,582,290,61,215,0,126,0,2,0,4,93,2,11,3,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIŢA LUMINIȚA (FOSTA GRADINITA NR. 16)",321,"Alegeri Prezidentiale",1,1196,733,662,71,0,729,4,1400,667,280,50,204,2,100,1,1,1,0,65,3,12,3,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","GRĂDINIŢA NR. 256",322,"Alegeri Prezidentiale",1,1544,899,835,63,1,889,10,1800,901,313,80,215,0,155,7,4,0,0,94,2,8,7,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 49",323,"Alegeri Prezidentiale",1,1193,845,689,155,1,839,6,1400,555,270,100,230,3,143,4,6,1,0,61,3,10,3,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 49",324,"Alegeri Prezidentiale",1,1157,737,632,104,1,730,7,1400,663,264,71,186,2,115,0,3,1,0,64,5,12,4,3
